Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,Cover Id
25703484,L'arabo del futuro: Una giovinezza in Medio Oriente (1978-1984),Riad Sattouf,"Sattouf, Riad",,"=""""","=""""",4,3.99,Rizzoli Lizard,Kindle Edition,160,2015,2014,,2018/07/07,,,read,,,,1,,,0,,,,,,1433973916l
20895652,Hilda e il troll,Luke Pearson,"Pearson, Luke",Caterina Marietti,"=""8865431962""","=""9788865431962""",3,4.18,BAO Publishing,Hardcover,40,2014,2010,,2018/07/07,,,read,,,,1,,,0,,,,,,1393244181l
18190561,Fermo,Sualzo,"Sualzo, Sualzo",,"=""886543158X""","=""9788865431580""",4,3.81,Bao Publishing,Paperback,125,2013,2013,,2018/07/07,,,read,,,,1,,,0,,,,,,1373652647l
20614306,Graphic novel is dead,Davide Toffolo,"Toffolo, Davide",Cecilia Ibañez,"=""8817068233""","=""9788817068239""",3,3.54,Rizzoli Lizard,Paperback,143,2014,2014,,2018/07/07,,,read,,,,1,,,0,,,,,,1390346307l
9660550,LMVDM. La mia vita disegnata male,Gipi,"Gipi, Gipi",,"=""8876181253""","=""9788876181252""",5,4.27,Coconino Press,Paperback,143,2008,2008,,2018/07/07,,,read,,,,1,,,0,,,,,,1319534294l
321821,Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,"Ware, Chris",,"=""0375714545""","=""9780375714542""",5,4.09,Pantheon,Paperback,380,2003,2000,,2018/07/07,,,read,,,,1,,,0,,,,,,1327881660l
26837404,L'elenco telefonico degli accolli,Zerocalcare,"Zerocalcare, Zerocalcare",,"=""""","=""""",4,4.11,Bao Publishing,Kindle Edition,,2015,2015,,2018/07/07,,,read,,,,1,,,0,,,,,,1443569230l
9440094,Persepolis,Marjane Satrapi,"Satrapi, Marjane","Gianluigi Gasparini, Agnès Nobecourt, Cristina Sparagana","=""8817034770""","=""9788817034777""",5,4.38,Rizzoli Lizard,Paperback,354,2007,2003,,2018/07/07,,,read,,,,1,,,0,,,,,,1449697740l
9652441,Il piccolo libro dei colori,Michel Pastoureau,"Pastoureau, Michel","Dominique Simonnet, Francesco Bruno","=""8879288555""","=""9788879288552""",3,3.85,Ponte alle Grazie,Paperback,112,2006,2005,,2018/07/07,,,read,,,,1,,,0,,,,,,1448038338l
16151874,Il Re Rosa,David B.,"B., David",Michele Foschini,"=""8865430052""","=""9788865430057""",3,3.59,Bao Publishing,Hardcover,48,2010,2009,,2018/07/07,,,read,,,,1,,,0,,,,,,1353015782l
